counts	number of items in equivalence class	isoforms in equivalence class
10	2	('ENST00000344954', 'ENST00000608303')
10	2	('ENST00000536250', 'ENST00000542794')
10	2	('ENST00000326402', 'ENST00000524875')
10	4	('ENST00000397510', 'ENST00000397512', 'ENST00000488769', 'ENST00000526170')
10	7	('ENST00000442944', 'ENST00000544387', 'ENST00000545621', 'ENST00000546302', 'ENST00000640813', 'ENST00000648026', 'ENST00000652429')
10	11	('ENST00000528498', 'ENST00000528556', 'ENST00000528900', 'ENST00000530131', 'ENST00000530301', 'ENST00000530749', 'ENST00000533678', 'ENST00000544551', 'ENST00000645495', 'ENST00000646663', 'ENST00000647231')
10	1	('ENST00000527767',)
10	19	('ENST00000350638', 'ENST00000379163', 'ENST00000395934', 'ENST00000474374', 'ENST00000638184', 'ENST00000638347', 'ENST00000638482', 'ENST00000638917', 'ENST00000638984', 'ENST00000639097', 'ENST00000639570', 'ENST00000639878', 'ENST00000640081', 'ENST00000640231', 'ENST00000640342', 'ENST00000640533', 'ENST00000640790', 'ENST00000640954', 'ENST00000640961')
10	2	('ENST00000265460', 'ENST00000278836')
10	8	('ENST00000322536', 'ENST00000526794', 'ENST00000648124', 'ENST00000686283', 'ENST00000686617', 'ENST00000688583', 'ENST00000688976', 'ENST00000690021')
10	3	('ENST00000265965', 'ENST00000525422', 'ENST00000528200')
10	6	('ENST00000382743', 'ENST00000524564', 'ENST00000525319', 'ENST00000526854', 'ENST00000529382', 'ENST00000532837')
10	6	('ENST00000354202', 'ENST00000409993', 'ENST00000682326', 'ENST00000682811', 'ENST00000682946', 'ENST00000683143')
10	1	('ENST00000544997',)
10	17	('ENST00000354202', 'ENST00000392834', 'ENST00000414373', 'ENST00000639704', 'ENST00000640102', 'ENST00000640747', 'ENST00000682232', 'ENST00000682326', 'ENST00000682791', 'ENST00000682811', 'ENST00000682946', 'ENST00000683143', 'ENST00000684142', 'ENST00000684255', 'ENST00000684345', 'ENST00000684499', 'ENST00000684682')
10	8	('ENST00000350997', 'ENST00000421879', 'ENST00000433932', 'ENST00000491310', 'ENST00000540767', 'ENST00000542506', 'ENST00000545245', 'ENST00000545405')
10	1	('ENST00000536991',)
10	4	('ENST00000350777', 'ENST00000527410', 'ENST00000529988', 'ENST00000530678')
10	1	('ENST00000527737',)
10	1	('ENST00000530765',)
10	7	('ENST00000359803', 'ENST00000395565', 'ENST00000395566', 'ENST00000395569', 'ENST00000405308', 'ENST00000407067', 'ENST00000489525')
10	9	('ENST00000301761', 'ENST00000359614', 'ENST00000534878', 'ENST00000537782', 'ENST00000538594', 'ENST00000541135', 'ENST00000543044', 'ENST00000543265', 'ENST00000544801')
10	6	('ENST00000311129', 'ENST00000341980', 'ENST00000426998', 'ENST00000527614', 'ENST00000534500', 'ENST00000534521')
10	2	('ENST00000265909', 'ENST00000534726')
10	6	('ENST00000359005', 'ENST00000434101', 'ENST00000525079', 'ENST00000533012', 'ENST00000533058', 'ENST00000533632')
10	3	('ENST00000418331', 'ENST00000440289', 'ENST00000527952')
10	1	('ENST00000351554',)
10	3	('ENST00000533403', 'ENST00000643183', 'ENST00000652086')
10	1	('ENST00000540139',)
10	1	('ENST00000651485',)
10	9	('ENST00000354420', 'ENST00000397604', 'ENST00000397614', 'ENST00000397615', 'ENST00000438658', 'ENST00000525701', 'ENST00000529768', 'ENST00000533410', 'ENST00000534797')
10	1	('ENST00000426086',)
10	1	('ENST00000619129',)
10	2	('ENST00000525123', 'ENST00000528609')
10	9	('ENST00000446488', 'ENST00000524746', 'ENST00000524794', 'ENST00000526940', 'ENST00000529319', 'ENST00000530278', 'ENST00000531755', 'ENST00000532225', 'ENST00000682444')
10	2	('ENST00000531154', 'ENST00000616540')
10	1	('ENST00000334888',)
10	2	('ENST00000320585', 'ENST00000457199')
10	2	('ENST00000326656', 'ENST00000426530')
10	1	('ENST00000428347',)
10	11	('ENST00000265965', 'ENST00000525422', 'ENST00000525920', 'ENST00000528200', 'ENST00000529151', 'ENST00000529728', 'ENST00000530613', 'ENST00000530925', 'ENST00000532265', 'ENST00000532389', 'ENST00000533328')
10	1	('ENST00000534751',)
10	2	('ENST00000280352', 'ENST00000420986')
10	8	('ENST00000323578', 'ENST00000429789', 'ENST00000436108', 'ENST00000449825', 'ENST00000454838', 'ENST00000528581', 'ENST00000529539', 'ENST00000534207')
10	2	('ENST00000323646', 'ENST00000415826')
10	6	('ENST00000423339', 'ENST00000530203', 'ENST00000644686', 'ENST00000645439', 'ENST00000680979', 'ENST00000681451')
10	1	('ENST00000429789',)
10	3	('ENST00000399817', 'ENST00000616316', 'ENST00000680197')
10	1	('ENST00000457514',)
10	3	('ENST00000525455', 'ENST00000531944', 'ENST00000531996')
10	3	('ENST00000532449', 'ENST00000534070', 'ENST00000534685')
10	2	('ENST00000525455', 'ENST00000531944')
10	47	('ENST00000346299', 'ENST00000352297', 'ENST00000393223', 'ENST00000409459', 'ENST00000444541', 'ENST00000470293', 'ENST00000481642', 'ENST00000484818', 'ENST00000495134', 'ENST00000497683', 'ENST00000674528', 'ENST00000674610', 'ENST00000674924', 'ENST00000674950', 'ENST00000674968', 'ENST00000674974', 'ENST00000674989', 'ENST00000675022', 'ENST00000675030', 'ENST00000675174', 'ENST00000675196', 'ENST00000675288', 'ENST00000675320', 'ENST00000675362', 'ENST00000675438', 'ENST00000675454', 'ENST00000675477', 'ENST00000675489', 'ENST00000675636', 'ENST00000675652', 'ENST00000675660', 'ENST00000675807', 'ENST00000675848', 'ENST00000675910', 'ENST00000675922', 'ENST00000675933', 'ENST00000675981', 'ENST00000676027', 'ENST00000676146', 'ENST00000676166', 'ENST00000676177', 'ENST00000676261', 'ENST00000676268', 'ENST00000676272', 'ENST00000676378', 'ENST00000676388', 'ENST00000676440')
10	4	('ENST00000265965', 'ENST00000525422', 'ENST00000527494', 'ENST00000528200')
10	2	('ENST00000528950', 'ENST00000533727')
10	1	('ENST00000532378',)
10	5	('ENST00000294172', 'ENST00000527902', 'ENST00000530875', 'ENST00000531709', 'ENST00000532297')
10	12	('ENST00000346501', 'ENST00000397396', 'ENST00000397397', 'ENST00000397404', 'ENST00000397406', 'ENST00000397408', 'ENST00000397411', 'ENST00000409531', 'ENST00000409543', 'ENST00000525201', 'ENST00000527644', 'ENST00000532375')
10	2	('ENST00000294172', 'ENST00000531709')
10	1	('ENST00000682254',)
10	1	('ENST00000536839',)
10	8	('ENST00000325486', 'ENST00000325542', 'ENST00000537677', 'ENST00000538658', 'ENST00000539855', 'ENST00000540830', 'ENST00000541150', 'ENST00000541365')
10	3	('ENST00000278927', 'ENST00000417453', 'ENST00000444566')
10	9	('ENST00000278460', 'ENST00000378615', 'ENST00000378618', 'ENST00000395460', 'ENST00000525279', 'ENST00000527667', 'ENST00000527784', 'ENST00000528488', 'ENST00000532633')
10	1	('ENST00000395460',)
10	2	('ENST00000284290', 'ENST00000530731')
10	17	('ENST00000227495', 'ENST00000356132', 'ENST00000392669', 'ENST00000444328', 'ENST00000449406', 'ENST00000524860', 'ENST00000526727', 'ENST00000528858', 'ENST00000530591', 'ENST00000532243', 'ENST00000534083', 'ENST00000534457', 'ENST00000676545', 'ENST00000676867', 'ENST00000677503', 'ENST00000677721', 'ENST00000678865')
10	9	('ENST00000265965', 'ENST00000524716', 'ENST00000525422', 'ENST00000527494', 'ENST00000528200', 'ENST00000529728', 'ENST00000530613', 'ENST00000532265', 'ENST00000532389')
10	7	('ENST00000284259', 'ENST00000422003', 'ENST00000524726', 'ENST00000529397', 'ENST00000531148', 'ENST00000533712', 'ENST00000683345')
10	4	('ENST00000264037', 'ENST00000392793', 'ENST00000642222', 'ENST00000645008')
10	1	('ENST00000524827',)
10	2	('ENST00000528674', 'ENST00000529030')
10	3	('ENST00000323180', 'ENST00000676320', 'ENST00000693049')
10	2	('ENST00000278833', 'ENST00000534093')
10	1	('ENST00000527363',)
10	11	('ENST00000251871', 'ENST00000533133', 'ENST00000638487', 'ENST00000638518', 'ENST00000638767', 'ENST00000638790', 'ENST00000639189', 'ENST00000639523', 'ENST00000640027', 'ENST00000640077', 'ENST00000640521')
10	8	('ENST00000456860', 'ENST00000529432', 'ENST00000529750', 'ENST00000534764', 'ENST00000635736', 'ENST00000638086', 'ENST00000638157', 'ENST00000646146')
10	2	('ENST00000641521', 'ENST00000641722')
10	1	('ENST00000361236',)
10	8	('ENST00000426335', 'ENST00000524782', 'ENST00000525314', 'ENST00000527927', 'ENST00000528041', 'ENST00000532438', 'ENST00000533243', 'ENST00000627920')
10	2	('ENST00000392748', 'ENST00000456829')
10	1	('ENST00000397420',)
10	1	('ENST00000294119',)
10	2	('ENST00000280706', 'ENST00000396213')
10	2	('ENST00000263776', 'ENST00000524990')
10	2	('ENST00000530506', 'ENST00000530541')
10	9	('ENST00000375549', 'ENST00000525291', 'ENST00000526592', 'ENST00000528021', 'ENST00000530923', 'ENST00000531744', 'ENST00000532699', 'ENST00000534010', 'ENST00000640554')
10	1	('ENST00000524932',)
10	3	('ENST00000395124', 'ENST00000533051', 'ENST00000533524')
10	9	('ENST00000236671', 'ENST00000433655', 'ENST00000438213', 'ENST00000636397', 'ENST00000636571', 'ENST00000636615', 'ENST00000636843', 'ENST00000637387', 'ENST00000678991')
10	1	('ENST00000527888',)
10	1	('ENST00000347941',)
10	3	('ENST00000337911', 'ENST00000405633', 'ENST00000429322')
10	1	('ENST00000335099',)
10	4	('ENST00000278426', 'ENST00000528450', 'ENST00000530159', 'ENST00000533066')
10	4	('ENST00000526961', 'ENST00000529760', 'ENST00000530692', 'ENST00000532317')
10	5	('ENST00000375490', 'ENST00000540163', 'ENST00000541475', 'ENST00000544347', 'ENST00000544582')
10	1	('ENST00000525681',)
10	6	('ENST00000292067', 'ENST00000356289', 'ENST00000526595', 'ENST00000526620', 'ENST00000533261', 'ENST00000640745')
10	2	('ENST00000348655', 'ENST00000397570')
10	7	('ENST00000393346', 'ENST00000526033', 'ENST00000528398', 'ENST00000529760', 'ENST00000532317', 'ENST00000532603', 'ENST00000630913')
10	1	('ENST00000325147',)
10	1	('ENST00000334944',)
10	1	('ENST00000490820',)
10	4	('ENST00000278422', 'ENST00000378312', 'ENST00000528110', 'ENST00000529403')
10	4	('ENST00000294066', 'ENST00000377350', 'ENST00000435926', 'ENST00000439069')
10	1	('ENST00000361987',)
10	1	('ENST00000433890',)
10	1	('ENST00000431081',)
10	2	('ENST00000525035', 'ENST00000529403')
10	3	('ENST00000525035', 'ENST00000529403', 'ENST00000533602')
10	4	('ENST00000278935', 'ENST00000525734', 'ENST00000527609', 'ENST00000533570')
10	12	('ENST00000525964', 'ENST00000527944', 'ENST00000534532', 'ENST00000534548', 'ENST00000685324', 'ENST00000688263', 'ENST00000688672', 'ENST00000689205', 'ENST00000689387', 'ENST00000690149', 'ENST00000690743', 'ENST00000691025')
10	7	('ENST00000359803', 'ENST00000395565', 'ENST00000395566', 'ENST00000405308', 'ENST00000407067', 'ENST00000489525', 'ENST00000533952')
10	4	('ENST00000311862', 'ENST00000525955', 'ENST00000529411', 'ENST00000533605')
10	18	('ENST00000334307', 'ENST00000347206', 'ENST00000446510', 'ENST00000527108', 'ENST00000528092', 'ENST00000530697', 'ENST00000531554', 'ENST00000532470', 'ENST00000534635', 'ENST00000617650', 'ENST00000676979', 'ENST00000677116', 'ENST00000677156', 'ENST00000677623', 'ENST00000677808', 'ENST00000678060', 'ENST00000678480', 'ENST00000679072')
10	16	('ENST00000334307', 'ENST00000446510', 'ENST00000528092', 'ENST00000530697', 'ENST00000531554', 'ENST00000532470', 'ENST00000617650', 'ENST00000676921', 'ENST00000676979', 'ENST00000677116', 'ENST00000677406', 'ENST00000678060', 'ENST00000678480', 'ENST00000678950', 'ENST00000679022', 'ENST00000679072')
10	2	('ENST00000465995', 'ENST00000527731')
10	1	('ENST00000536719',)
10	1	('ENST00000301770',)
9	3	('ENST00000527146', 'ENST00000679765', 'ENST00000681577')
9	5	('ENST00000330243', 'ENST00000525445', 'ENST00000532326', 'ENST00000532788', 'ENST00000533182')
9	9	('ENST00000294072', 'ENST00000426130', 'ENST00000447532', 'ENST00000536915', 'ENST00000537364', 'ENST00000540139', 'ENST00000540755', 'ENST00000542361', 'ENST00000546151')
9	2	('ENST00000526776', 'ENST00000532287')
9	4	('ENST00000322147', 'ENST00000526927', 'ENST00000528516', 'ENST00000532661')
9	3	('ENST00000308022', 'ENST00000541059', 'ENST00000545682')
9	1	('ENST00000533211',)
9	10	('ENST00000310571', 'ENST00000376384', 'ENST00000504441', 'ENST00000535604', 'ENST00000536003', 'ENST00000541951', 'ENST00000543814', 'ENST00000544552', 'ENST00000544909', 'ENST00000546039')
9	3	('ENST00000346178', 'ENST00000534613', 'ENST00000534779')
9	1	('ENST00000532017',)
9	5	('ENST00000396991', 'ENST00000489571', 'ENST00000524661', 'ENST00000528216', 'ENST00000532017')
9	1	('ENST00000317449',)
9	21	('ENST00000289488', 'ENST00000307198', 'ENST00000324866', 'ENST00000423494', 'ENST00000427369', 'ENST00000439209', 'ENST00000535883', 'ENST00000536917', 'ENST00000538413', 'ENST00000538478', 'ENST00000539271', 'ENST00000541614', 'ENST00000542846', 'ENST00000544409', 'ENST00000642478', 'ENST00000642510', 'ENST00000642648', 'ENST00000643715', 'ENST00000645358', 'ENST00000646163', 'ENST00000647530')
9	9	('ENST00000322008', 'ENST00000397420', 'ENST00000397421', 'ENST00000524748', 'ENST00000526693', 'ENST00000527341', 'ENST00000528011', 'ENST00000529810', 'ENST00000530726')
9	2	('ENST00000532808', 'ENST00000615299')
9	1	('ENST00000533285',)
9	4	('ENST00000278187', 'ENST00000454584', 'ENST00000524701', 'ENST00000532398')
9	1	('ENST00000531543',)
9	5	('ENST00000336139', 'ENST00000528306', 'ENST00000529691', 'ENST00000530393', 'ENST00000533463')
9	1	('ENST00000429814',)
9	3	('ENST00000334736', 'ENST00000525038', 'ENST00000529032')
9	4	('ENST00000334736', 'ENST00000524490', 'ENST00000525919', 'ENST00000529032')
9	3	('ENST00000302731', 'ENST00000529773', 'ENST00000533682')
9	1	('ENST00000681180',)
9	3	('ENST00000260061', 'ENST00000404995', 'ENST00000407242')
9	2	('ENST00000524486', 'ENST00000525028')
9	8	('ENST00000315204', 'ENST00000396672', 'ENST00000431279', 'ENST00000447869', 'ENST00000454443', 'ENST00000457885', 'ENST00000526360', 'ENST00000687296')
9	2	('ENST00000530170', 'ENST00000534440')
9	2	('ENST00000502597', 'ENST00000543050')
9	5	('ENST00000227378', 'ENST00000453788', 'ENST00000532636', 'ENST00000533540', 'ENST00000534624')
9	6	('ENST00000298838', 'ENST00000528201', 'ENST00000528462', 'ENST00000530513', 'ENST00000532457', 'ENST00000539589')
9	2	('ENST00000542946', 'ENST00000689076')
9	4	('ENST00000299596', 'ENST00000527813', 'ENST00000528080', 'ENST00000611268')
9	13	('ENST00000278544', 'ENST00000525861', 'ENST00000530334', 'ENST00000531461', 'ENST00000532485', 'ENST00000679754', 'ENST00000679866', 'ENST00000680842', 'ENST00000681004', 'ENST00000681251', 'ENST00000681257', 'ENST00000681354', 'ENST00000681411')
9	1	('ENST00000526870',)
9	1	('ENST00000412681',)
9	3	('ENST00000311445', 'ENST00000528063', 'ENST00000528852')
9	7	('ENST00000299606', 'ENST00000396597', 'ENST00000396602', 'ENST00000396604', 'ENST00000438144', 'ENST00000530463', 'ENST00000533542')
9	2	('ENST00000526463', 'ENST00000532132')
9	11	('ENST00000279968', 'ENST00000524373', 'ENST00000526175', 'ENST00000527271', 'ENST00000527766', 'ENST00000529530', 'ENST00000529583', 'ENST00000531909', 'ENST00000532407', 'ENST00000533273', 'ENST00000682305')
9	3	('ENST00000393427', 'ENST00000526164', 'ENST00000630098')
9	4	('ENST00000279968', 'ENST00000524373', 'ENST00000529609', 'ENST00000533273')
9	3	('ENST00000278919', 'ENST00000577924', 'ENST00000648911')
9	2	('ENST00000294168', 'ENST00000525405')
9	7	('ENST00000278951', 'ENST00000324225', 'ENST00000431081', 'ENST00000525478', 'ENST00000532062', 'ENST00000620360', 'ENST00000628876')
9	1	('ENST00000680367',)
9	2	('ENST00000430553', 'ENST00000536528')
9	1	('ENST00000532173',)
9	4	('ENST00000311320', 'ENST00000530056', 'ENST00000530745', 'ENST00000534824')
9	1	('ENST00000676339',)
9	4	('ENST00000325486', 'ENST00000325542', 'ENST00000539855', 'ENST00000540830')
9	8	('ENST00000322776', 'ENST00000415352', 'ENST00000528328', 'ENST00000529927', 'ENST00000532244', 'ENST00000532303', 'ENST00000532343', 'ENST00000647561')
9	1	('ENST00000396751',)
9	5	('ENST00000392708', 'ENST00000527606', 'ENST00000529196', 'ENST00000531491', 'ENST00000649491')
9	5	('ENST00000525902', 'ENST00000526772', 'ENST00000527467', 'ENST00000531014', 'ENST00000533667')
9	4	('ENST00000321322', 'ENST00000525836', 'ENST00000651172', 'ENST00000651296')
9	1	('ENST00000527482',)
9	3	('ENST00000256997', 'ENST00000672073', 'ENST00000672636')
9	3	('ENST00000265963', 'ENST00000530496', 'ENST00000534641')
9	2	('ENST00000299563', 'ENST00000527301')
9	11	('ENST00000334126', 'ENST00000442398', 'ENST00000679415', 'ENST00000680665', 'ENST00000680839', 'ENST00000681143', 'ENST00000681291', 'ENST00000681385', 'ENST00000681609', 'ENST00000681811', 'ENST00000681924')
9	21	('ENST00000301781', 'ENST00000360796', 'ENST00000403734', 'ENST00000405837', 'ENST00000413908', 'ENST00000449636', 'ENST00000464544', 'ENST00000524862', 'ENST00000530009', 'ENST00000531524', 'ENST00000532818', 'ENST00000533982', 'ENST00000679883', 'ENST00000682223', 'ENST00000682262', 'ENST00000682555', 'ENST00000683025', 'ENST00000683296', 'ENST00000684067', 'ENST00000684285', 'ENST00000684475')
9	1	('ENST00000440289',)
9	2	('ENST00000527333', 'ENST00000529230')
9	3	('ENST00000645439', 'ENST00000680171', 'ENST00000680979')
9	18	('ENST00000278893', 'ENST00000301781', 'ENST00000360796', 'ENST00000403098', 'ENST00000403550', 'ENST00000403734', 'ENST00000405837', 'ENST00000407022', 'ENST00000421906', 'ENST00000448568', 'ENST00000449636', 'ENST00000524862', 'ENST00000679883', 'ENST00000682223', 'ENST00000683025', 'ENST00000683296', 'ENST00000684067', 'ENST00000684285')
9	3	('ENST00000530266', 'ENST00000532081', 'ENST00000532505')
9	7	('ENST00000279968', 'ENST00000524373', 'ENST00000529530', 'ENST00000531909', 'ENST00000532156', 'ENST00000532407', 'ENST00000533273')
9	4	('ENST00000524625', 'ENST00000577256', 'ENST00000581416', 'ENST00000683050')
9	2	('ENST00000525455', 'ENST00000531996')
9	17	('ENST00000313663', 'ENST00000334126', 'ENST00000414160', 'ENST00000442398', 'ENST00000538361', 'ENST00000679415', 'ENST00000679906', 'ENST00000680231', 'ENST00000680665', 'ENST00000680839', 'ENST00000681143', 'ENST00000681291', 'ENST00000681310', 'ENST00000681385', 'ENST00000681811', 'ENST00000681829', 'ENST00000681924')
9	1	('ENST00000378312',)
9	5	('ENST00000380542', 'ENST00000492685', 'ENST00000526115', 'ENST00000532325', 'ENST00000620138')
9	4	('ENST00000529530', 'ENST00000531909', 'ENST00000532156', 'ENST00000532407')
9	3	('ENST00000524625', 'ENST00000578626', 'ENST00000683050')
9	2	('ENST00000337979', 'ENST00000633708')
9	7	('ENST00000278302', 'ENST00000354852', 'ENST00000380097', 'ENST00000380107', 'ENST00000445329', 'ENST00000507320', 'ENST00000621176')
9	8	('ENST00000256997', 'ENST00000529444', 'ENST00000672073', 'ENST00000672075', 'ENST00000672636', 'ENST00000672787', 'ENST00000673511', 'ENST00000673604')
9	10	('ENST00000528498', 'ENST00000528556', 'ENST00000528900', 'ENST00000530131', 'ENST00000530301', 'ENST00000530749', 'ENST00000533678', 'ENST00000544551', 'ENST00000645495', 'ENST00000647231')
9	3	('ENST00000256733', 'ENST00000526900', 'ENST00000529528')
9	1	('ENST00000526608',)
9	2	('ENST00000465995', 'ENST00000526042')
9	5	('ENST00000260257', 'ENST00000528274', 'ENST00000531487', 'ENST00000542429', 'ENST00000622211')
9	13	('ENST00000395934', 'ENST00000638347', 'ENST00000638376', 'ENST00000638482', 'ENST00000638917', 'ENST00000638984', 'ENST00000639570', 'ENST00000639878', 'ENST00000640081', 'ENST00000640231', 'ENST00000640790', 'ENST00000640954', 'ENST00000640961')
9	11	('ENST00000313236', 'ENST00000354064', 'ENST00000354284', 'ENST00000359862', 'ENST00000411589', 'ENST00000442938', 'ENST00000524725', 'ENST00000526853', 'ENST00000526973', 'ENST00000533102', 'ENST00000534181')
9	1	('ENST00000528192',)
9	1	('ENST00000528071',)
9	3	('ENST00000535054', 'ENST00000537947', 'ENST00000545082')
9	2	('ENST00000399602', 'ENST00000620374')
9	2	('ENST00000395290', 'ENST00000531165')
9	5	('ENST00000305159', 'ENST00000641504', 'ENST00000641541', 'ENST00000641593', 'ENST00000641931')
9	1	('ENST00000531407',)
9	6	('ENST00000260045', 'ENST00000682046', 'ENST00000682527', 'ENST00000682978', 'ENST00000683600', 'ENST00000684059')
9	6	('ENST00000308162', 'ENST00000524553', 'ENST00000525451', 'ENST00000526975', 'ENST00000532134', 'ENST00000534784')
9	6	('ENST00000310653', 'ENST00000336083', 'ENST00000536566', 'ENST00000537446', 'ENST00000540771', 'ENST00000541588')
9	1	('ENST00000528847',)
9	5	('ENST00000005082', 'ENST00000399602', 'ENST00000526601', 'ENST00000534569', 'ENST00000620374')
9	5	('ENST00000398006', 'ENST00000613181', 'ENST00000614444', 'ENST00000619129', 'ENST00000622211')
9	1	('ENST00000617285',)
9	9	('ENST00000321297', 'ENST00000435507', 'ENST00000535830', 'ENST00000537837', 'ENST00000538973', 'ENST00000540222', 'ENST00000541367', 'ENST00000541554', 'ENST00000541999')
9	1	('ENST00000538739',)
9	3	('ENST00000280357', 'ENST00000524595', 'ENST00000528832')
9	5	('ENST00000310137', 'ENST00000393979', 'ENST00000409372', 'ENST00000412278', 'ENST00000421355')
9	5	('ENST00000360962', 'ENST00000525449', 'ENST00000525908', 'ENST00000540737', 'ENST00000642265')
9	6	('ENST00000395288', 'ENST00000430070', 'ENST00000525720', 'ENST00000526005', 'ENST00000530668', 'ENST00000533290')
9	1	('ENST00000642047',)
9	6	('ENST00000300038', 'ENST00000396196', 'ENST00000396197', 'ENST00000535484', 'ENST00000541984', 'ENST00000543987')
9	7	('ENST00000360962', 'ENST00000525449', 'ENST00000525908', 'ENST00000527634', 'ENST00000532565', 'ENST00000532727', 'ENST00000642265')
9	3	('ENST00000527038', 'ENST00000612687', 'ENST00000617285')
9	10	('ENST00000321297', 'ENST00000435507', 'ENST00000535830', 'ENST00000537837', 'ENST00000538973', 'ENST00000540222', 'ENST00000541367', 'ENST00000541554', 'ENST00000541999', 'ENST00000544490')
9	1	('ENST00000394888',)
9	10	('ENST00000358171', 'ENST00000524558', 'ENST00000525611', 'ENST00000526397', 'ENST00000528760', 'ENST00000530284', 'ENST00000532356', 'ENST00000533449', 'ENST00000533603', 'ENST00000649490')
9	1	('ENST00000533244',)
9	5	('ENST00000289575', 'ENST00000428359', 'ENST00000525650', 'ENST00000526839', 'ENST00000532236')
9	7	('ENST00000300737', 'ENST00000526596', 'ENST00000527651', 'ENST00000532610', 'ENST00000532919', 'ENST00000533977', 'ENST00000616714')
9	1	('ENST00000438658',)
9	6	('ENST00000526277', 'ENST00000528434', 'ENST00000528538', 'ENST00000531165', 'ENST00000532048', 'ENST00000687097')
9	7	('ENST00000310653', 'ENST00000336083', 'ENST00000536566', 'ENST00000537446', 'ENST00000541588', 'ENST00000541973', 'ENST00000545625')
9	12	('ENST00000318312', 'ENST00000393994', 'ENST00000419755', 'ENST00000524458', 'ENST00000525809', 'ENST00000526035', 'ENST00000526760', 'ENST00000527251', 'ENST00000532908', 'ENST00000533557', 'ENST00000533644', 'ENST00000630659')
9	2	('ENST00000531540', 'ENST00000533410')
9	9	('ENST00000334736', 'ENST00000524490', 'ENST00000524767', 'ENST00000525038', 'ENST00000525919', 'ENST00000529032', 'ENST00000531998', 'ENST00000533248', 'ENST00000533972')
9	5	('ENST00000299576', 'ENST00000396648', 'ENST00000529876', 'ENST00000529942', 'ENST00000534506')
9	11	('ENST00000280346', 'ENST00000393051', 'ENST00000533297', 'ENST00000679368', 'ENST00000679815', 'ENST00000680010', 'ENST00000680411', 'ENST00000681316', 'ENST00000681328', 'ENST00000681339', 'ENST00000681638')
9	2	('ENST00000524926', 'ENST00000526988')
9	1	('ENST00000529191',)
9	2	('ENST00000278243', 'ENST00000464906')
9	1	('ENST00000506523',)
9	12	('ENST00000392841', 'ENST00000535253', 'ENST00000536813', 'ENST00000537841', 'ENST00000542729', 'ENST00000544387', 'ENST00000546302', 'ENST00000640813', 'ENST00000648026', 'ENST00000648374', 'ENST00000648488', 'ENST00000652429')
9	1	('ENST00000544582',)
9	5	('ENST00000284259', 'ENST00000422003', 'ENST00000529397', 'ENST00000645041', 'ENST00000683345')
9	19	('ENST00000278243', 'ENST00000300730', 'ENST00000396986', 'ENST00000396991', 'ENST00000396993', 'ENST00000459679', 'ENST00000463452', 'ENST00000464229', 'ENST00000464261', 'ENST00000464906', 'ENST00000465307', 'ENST00000469307', 'ENST00000479072', 'ENST00000490830', 'ENST00000493547', 'ENST00000496834', 'ENST00000528216', 'ENST00000532017', 'ENST00000532523')
9	2	('ENST00000312390', 'ENST00000526387')
9	3	('ENST00000406787', 'ENST00000407364', 'ENST00000451385')
9	3	('ENST00000417302', 'ENST00000462734', 'ENST00000493230')
9	5	('ENST00000394224', 'ENST00000526137', 'ENST00000527525', 'ENST00000533361', 'ENST00000534313')
9	5	('ENST00000332725', 'ENST00000397632', 'ENST00000431843', 'ENST00000526395', 'ENST00000531205')
9	10	('ENST00000294053', 'ENST00000437826', 'ENST00000535477', 'ENST00000535990', 'ENST00000538039', 'ENST00000539148', 'ENST00000543042', 'ENST00000544683', 'ENST00000642288', 'ENST00000646117')
9	1	('ENST00000299355',)
9	3	('ENST00000278426', 'ENST00000524995', 'ENST00000533263')
9	9	('ENST00000299492', 'ENST00000525597', 'ENST00000527790', 'ENST00000528883', 'ENST00000529575', 'ENST00000533792', 'ENST00000650027', 'ENST00000684123', 'ENST00000684215')
9	11	('ENST00000310513', 'ENST00000358597', 'ENST00000361904', 'ENST00000395290', 'ENST00000395292', 'ENST00000525841', 'ENST00000528434', 'ENST00000530151', 'ENST00000531165', 'ENST00000532048', 'ENST00000687097')
9	1	('ENST00000528313',)
9	1	('ENST00000688976',)
9	8	('ENST00000313726', 'ENST00000526062', 'ENST00000526099', 'ENST00000526757', 'ENST00000530438', 'ENST00000530991', 'ENST00000534127', 'ENST00000534278')
9	6	('ENST00000298852', 'ENST00000524447', 'ENST00000530912', 'ENST00000531051', 'ENST00000602866', 'ENST00000619920')
9	3	('ENST00000265843', 'ENST00000525344', 'ENST00000526312')
9	2	('ENST00000530204', 'ENST00000533166')
9	3	('ENST00000529554', 'ENST00000530316', 'ENST00000532278')
9	8	('ENST00000334805', 'ENST00000400925', 'ENST00000537351', 'ENST00000537947', 'ENST00000538536', 'ENST00000543304', 'ENST00000544767', 'ENST00000545082')
9	2	('ENST00000300747', 'ENST00000526337')
9	8	('ENST00000278426', 'ENST00000524995', 'ENST00000525764', 'ENST00000528450', 'ENST00000530159', 'ENST00000533066', 'ENST00000533263', 'ENST00000534105')
9	1	('ENST00000682465',)
9	15	('ENST00000354202', 'ENST00000392834', 'ENST00000409993', 'ENST00000414373', 'ENST00000682232', 'ENST00000682326', 'ENST00000682791', 'ENST00000682811', 'ENST00000682946', 'ENST00000683143', 'ENST00000684142', 'ENST00000684255', 'ENST00000684345', 'ENST00000684499', 'ENST00000684682')
