counts	number of items in equivalence class	isoforms in equivalence class
1080	7	('ENST00000273550', 'ENST00000526640', 'ENST00000529548', 'ENST00000532601', 'ENST00000532829', 'ENST00000534180', 'ENST00000620041')
1073	4	('ENST00000525297', 'ENST00000527548', 'ENST00000529639', 'ENST00000531743')
1067	2	('ENST00000351018', 'ENST00000396979')
1065	9	('ENST00000227157', 'ENST00000379412', 'ENST00000396222', 'ENST00000422447', 'ENST00000486690', 'ENST00000540430', 'ENST00000542179', 'ENST00000543695', 'ENST00000545215')
1064	4	('ENST00000279227', 'ENST00000345728', 'ENST00000541252', 'ENST00000544997')
1061	10	('ENST00000422465', 'ENST00000524851', 'ENST00000526248', 'ENST00000527446', 'ENST00000528847', 'ENST00000530164', 'ENST00000530170', 'ENST00000530721', 'ENST00000531188', 'ENST00000534440')
1056	1	('ENST00000227524',)
1052	1	('ENST00000527958',)
1042	3	('ENST00000526070', 'ENST00000534980', 'ENST00000620157')
1039	3	('ENST00000249923', 'ENST00000439561', 'ENST00000534234')
1038	2	('ENST00000325147', 'ENST00000382762')
1037	4	('ENST00000328221', 'ENST00000408968', 'ENST00000528780', 'ENST00000680588')
1036	10	('ENST00000227157', 'ENST00000379412', 'ENST00000396222', 'ENST00000422447', 'ENST00000430553', 'ENST00000486690', 'ENST00000536528', 'ENST00000540430', 'ENST00000542179', 'ENST00000545215')
1034	2	('ENST00000298229', 'ENST00000538751')
1032	4	('ENST00000312989', 'ENST00000376745', 'ENST00000527663', 'ENST00000679175')
1031	5	('ENST00000263464', 'ENST00000526421', 'ENST00000532808', 'ENST00000615299', 'ENST00000673846')
1028	1	('ENST00000265462',)
1026	4	('ENST00000379965', 'ENST00000414641', 'ENST00000425490', 'ENST00000454828')
1021	1	('ENST00000302503',)
1019	1	('ENST00000430553',)
1012	1	('ENST00000398868',)
1005	3	('ENST00000345732', 'ENST00000389939', 'ENST00000534668')
999	3	('ENST00000339995', 'ENST00000525681', 'ENST00000526148')
988	2	('ENST00000398603', 'ENST00000398606')
988	2	('ENST00000308774', 'ENST00000544844')
984	8	('ENST00000227378', 'ENST00000453788', 'ENST00000525463', 'ENST00000526110', 'ENST00000528292', 'ENST00000532636', 'ENST00000534319', 'ENST00000534624')
982	6	('ENST00000351960', 'ENST00000358965', 'ENST00000393695', 'ENST00000541584', 'ENST00000613205', 'ENST00000620566')
981	1	('ENST00000310137',)
978	7	('ENST00000339995', 'ENST00000396525', 'ENST00000524932', 'ENST00000525681', 'ENST00000526148', 'ENST00000531416', 'ENST00000532082')
974	3	('ENST00000340437', 'ENST00000394888', 'ENST00000439958')
973	2	('ENST00000252108', 'ENST00000431736')
970	1	('ENST00000299424',)
969	1	('ENST00000336349',)
966	4	('ENST00000530165', 'ENST00000531863', 'ENST00000532677', 'ENST00000541961')
958	15	('ENST00000299427', 'ENST00000533371', 'ENST00000642892', 'ENST00000643342', 'ENST00000643439', 'ENST00000643516', 'ENST00000644218', 'ENST00000644683', 'ENST00000644810', 'ENST00000644933', 'ENST00000645285', 'ENST00000645620', 'ENST00000647152', 'ENST00000647209', 'ENST00000682424')
958	2	('ENST00000524896', 'ENST00000531120')
955	1	('ENST00000526562',)
939	1	('ENST00000264033',)
928	2	('ENST00000302503', 'ENST00000530428')
